"","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"59",2.25167785234899,"bistable",2546.2,20.6,0,4.03,0.92,0.5,20.08,0.38,0,36925.18,1894.89,730.43,0.01,1.31,1.05
"60",2.28187919463087,"bistable",2578.37,21.6,0,4.09,0.95,0.51,20.31,0.39,0,37392.59,1960.3,740.24,0.01,1.33,1.05
"61",2.31208053691275,"bistable",2610.53,22.65,0,4.14,0.98,0.51,20.55,0.41,0,37860.02,2027.69,750.04,0.01,1.36,1.06
"62",2.34228187919463,"bistable",2642.69,23.74,0,4.2,1.01,0.52,20.78,0.42,0,38327.48,2097.14,759.84,0.01,1.38,1.06
"63",2.37248322147651,"bistable",2674.85,24.87,0,4.25,1.05,0.53,21.01,0.44,0,38794.95,2168.74,769.64,0.01,1.41,1.07
"64",2.40268456375839,"bistable",2707,26.05,0,4.31,1.08,0.53,21.25,0.45,0,39262.43,2242.6,779.44,0.01,1.44,1.08
"65",2.43288590604027,"bistable",2739.16,27.28,0,4.36,1.12,0.54,21.48,0.47,0,39729.92,2318.8,789.24,0.01,1.47,1.08
"66",2.46308724832215,"bistable",2771.31,28.57,0,4.42,1.15,0.55,21.72,0.49,0,40197.39,2397.47,799.04,0.01,1.5,1.09
"67",2.49328859060403,"bistable",2803.45,29.91,0,4.47,1.19,0.55,21.95,0.5,0,40664.86,2478.71,808.85,0.01,1.53,1.1
"68",2.52348993288591,"bistable",2835.6,31.31,0,4.53,1.23,0.56,22.18,0.52,0,41132.3,2562.64,818.65,0.01,1.57,1.1
"69",2.55369127516779,"bistable",2867.73,32.78,0,4.58,1.28,0.57,22.42,0.54,0,41599.71,2649.41,828.45,0.01,1.6,1.11
"70",2.58389261744966,"bistable",2899.86,34.31,0,4.64,1.32,0.57,22.65,0.55,0,42067.09,2739.13,838.25,0.01,1.64,1.11
"71",2.61409395973154,"bistable",2931.99,35.92,0,4.69,1.36,0.58,22.88,0.57,0,42534.42,2831.96,848.05,0.01,1.67,1.12
"72",2.64429530201342,"bistable",2964.1,37.6,0,4.74,1.41,0.59,23.11,0.59,0,43001.68,2928.06,857.85,0.01,1.71,1.13
"73",2.6744966442953,"bistable",2996.21,39.36,0,4.8,1.46,0.59,23.34,0.61,0,43468.88,3027.59,867.66,0.01,1.75,1.13
"74",2.70469798657718,"bistable",3028.31,41.22,0,4.85,1.51,0.6,23.57,0.63,0,43936,3130.73,877.46,0.01,1.79,1.14
"75",2.73489932885906,"bistable",3060.4,43.17,0,4.91,1.56,0.61,23.81,0.65,0,44403.03,3237.68,887.26,0.01,1.84,1.15
"76",2.76510067114094,"bistable",3092.48,45.22,0,4.96,1.61,0.62,24.04,0.68,0,44869.95,3348.63,897.06,0.02,1.88,1.15
"77",2.79530201342282,"bistable",3124.54,47.38,0,5.02,1.67,0.62,24.27,0.7,0,45336.75,3463.81,906.87,0.02,1.93,1.16
"78",2.8255033557047,"bistable",3156.59,49.66,0,5.07,1.72,0.63,24.5,0.72,0,45803.41,3583.45,916.67,0.02,1.98,1.16
"79",2.85570469798658,"bistable",3188.62,52.07,0,5.13,1.78,0.64,24.72,0.75,0,46269.91,3707.81,926.47,0.02,2.03,1.17
"80",2.88590604026846,"bistable",3220.64,54.62,0,5.18,1.85,0.64,24.95,0.77,0,46736.24,3837.18,936.28,0.02,2.08,1.18
"81",2.91610738255034,"bistable",3252.64,57.31,0,5.23,1.91,0.65,25.18,0.8,0,47202.38,3971.84,946.08,0.02,2.13,1.18
"82",2.94630872483221,"bistable",3284.62,60.17,0,5.29,1.98,0.66,25.41,0.83,0,47668.29,4112.13,955.88,0.02,2.19,1.19
"83",2.97651006711409,"bistable",3316.57,63.2,0,5.34,2.05,0.66,25.64,0.86,0,48133.96,4258.39,965.68,0.02,2.25,1.19
"84",3.00671140939597,"bistable",3348.5,66.43,0,5.4,2.12,0.67,25.86,0.89,0,48599.35,4411.02,975.49,0.02,2.31,1.2
"85",3.03691275167785,"bistable",3380.4,69.88,0,5.45,2.2,0.68,26.09,0.92,0,49064.43,4570.45,985.29,0.02,2.37,1.21
"86",3.06711409395973,"bistable",3412.27,73.55,0,5.5,2.27,0.68,26.32,0.96,0,49529.16,4737.12,995.09,0.02,2.43,1.21
"87",3.09731543624161,"bistable",3444.1,77.48,0,5.56,2.36,0.69,26.54,0.99,0,49993.5,4911.57,1004.9,0.02,2.5,1.22
"88",3.12751677852349,"bistable",3475.89,81.69,0,5.61,2.44,0.7,26.77,1.03,0,50457.4,5094.35,1014.7,0.02,2.57,1.23
"89",3.15771812080537,"bistable",3507.64,86.22,0,5.66,2.53,0.7,26.99,1.07,0,50920.81,5286.1,1024.51,0.02,2.65,1.23
"90",3.18791946308725,"bistable",3539.34,91.1,0,5.72,2.62,0.71,27.22,1.12,0,51383.66,5487.51,1034.31,0.03,2.72,1.24
"91",3.21812080536913,"bistable",3570.99,96.36,0,5.77,2.72,0.72,27.44,1.16,0,51845.88,5699.38,1044.11,0.03,2.8,1.24
"92",3.24832214765101,"bistable",3602.57,102.07,0,5.83,2.82,0.72,27.66,1.21,0,52307.37,5922.6,1053.92,0.03,2.89,1.25
"93",3.27852348993289,"bistable",3634.08,108.26,0,5.88,2.92,0.73,27.89,1.27,0,52768.04,6158.16,1063.72,0.03,2.97,1.26
"94",3.30872483221477,"bistable",3665.51,115.01,0,5.93,3.03,0.74,28.11,1.33,0,53227.78,6407.22,1073.53,0.03,3.06,1.26
"95",3.33892617449664,"bistable",3696.85,122.4,0,5.99,3.15,0.74,28.33,1.39,0,53686.42,6671.09,1083.33,0.03,3.16,1.27
"96",3.36912751677852,"bistable",3728.08,130.52,0,6.04,3.27,0.75,28.55,1.46,0,54143.82,6951.3,1093.14,0.04,3.25,1.27
"97",3.3993288590604,"bistable",3759.18,139.47,0,6.09,3.39,0.76,28.76,1.54,0,54599.75,7249.63,1102.94,0.04,3.35,1.28
"98",3.42953020134228,"bistable",3790.14,149.39,0,6.15,3.52,0.76,28.98,1.62,0,55053.98,7568.17,1112.74,0.04,3.46,1.29
"99",3.45973154362416,"bistable",3820.93,160.45,0,6.2,3.66,0.77,29.2,1.71,0,55506.17,7909.42,1122.55,0.04,3.57,1.29
"100",3.48993288590604,"bistable",3851.51,172.86,0,6.25,3.8,0.78,29.41,1.81,0,55955.96,8276.4,1132.35,0.05,3.68,1.3
"101",3.52013422818792,"bistable",3881.84,186.85,0,6.31,3.95,0.78,29.62,1.93,0,56402.83,8672.77,1142.16,0.05,3.79,1.31
"102",3.5503355704698,"bistable",3911.88,202.78,0,6.36,4.11,0.79,29.83,2.06,0,56846.17,9103.1,1151.96,0.05,3.91,1.31
"103",3.58053691275168,"bistable",3941.55,221.05,0,6.41,4.27,0.8,30.04,2.21,0,57285.13,9573.14,1161.77,0.06,4.04,1.32
"104",3.61073825503356,"bistable",3970.75,242.21,0,6.47,4.45,0.8,30.24,2.38,0,57718.62,10090.28,1171.57,0.06,4.17,1.32
"105",3.64093959731544,"bistable",3999.37,267.02,0,6.52,4.63,0.81,30.44,2.58,0,58145.11,10664.24,1181.38,0.07,4.3,1.33
"106",3.67114093959732,"bistable",4027.22,296.5,0,6.57,4.82,0.82,30.63,2.82,0,58562.5,11308.13,1191.19,0.08,4.43,1.34
"107",3.7013422818792,"bistable",4054.05,332.1,0,6.63,5.02,0.82,30.82,3.1,0,58967.71,12040.17,1200.99,0.09,4.56,1.34
"108",3.73154362416107,"bistable",4079.46,375.93,0,6.68,5.24,0.83,30.99,3.45,0,59356.14,12886.62,1210.8,0.1,4.68,1.35
"109",3.76174496644295,"bistable",4102.86,431.2,0,6.73,5.46,0.84,31.15,3.89,0,59720.53,13886.95,1220.6,0.11,4.8,1.35
"110",3.79194630872483,"bistable",4123.22,503.1,0,6.79,5.69,0.84,31.29,4.46,0,60048.73,15103.77,1230.41,0.13,4.91,1.36
"111",3.82214765100671,"bistable",4138.69,600.43,0,6.84,5.94,0.85,31.4,5.22,0,60318.68,16643.33,1240.21,0.16,4.98,1.37
"112",3.85234899328859,"bistable",4145.53,739.72,0,6.89,6.2,0.86,31.44,6.31,0,60485.81,18703.03,1250.02,0.2,5,1.37
"113",3.88255033557047,"bistable",4134.83,955.97,0,6.95,6.47,0.86,31.37,7.99,0,60443.68,21700,1259.83,0.27,4.91,1.38
"114",3.91275167785235,"bistable",4078.29,1340.41,0,7,6.74,0.87,30.97,10.94,0,59854.96,26718.61,1269.63,0.41,4.55,1.39
"115",3.94295302013423,"bistable",3791.94,2277.44,0,7.06,7.01,0.88,28.94,17.97,0,56522.81,38329.75,1279.44,0.93,3.3,1.39
"116",3.97315436241611,"bare",NA,NA,0,NA,NA,0.88,NA,NA,0,NA,NA,1289.25,NA,NA,1.4
"117",4.00335570469799,"bare",NA,NA,0,NA,NA,0.89,NA,NA,0,NA,NA,1299.05,NA,NA,1.4
"118",4.03355704697987,"bare",NA,NA,0,NA,NA,0.9,NA,NA,0,NA,NA,1308.86,NA,NA,1.41
"119",4.06375838926174,"bare",NA,NA,0,NA,NA,0.9,NA,NA,0,NA,NA,1318.67,NA,NA,1.42
"120",4.09395973154362,"bare",NA,NA,0,NA,NA,0.91,NA,NA,0,NA,NA,1328.47,NA,NA,1.42
"121",4.1241610738255,"bare",NA,NA,0,NA,NA,0.92,NA,NA,0,NA,NA,1338.28,NA,NA,1.43
"122",4.15436241610738,"bare",NA,NA,0,NA,NA,0.92,NA,NA,0,NA,NA,1348.09,NA,NA,1.44
"123",4.18456375838926,"bare",NA,NA,0,NA,NA,0.93,NA,NA,0,NA,NA,1357.89,NA,NA,1.44
"124",4.21476510067114,"bare",NA,NA,0,NA,NA,0.94,NA,NA,0,NA,NA,1367.7,NA,NA,1.45
"125",4.24496644295302,"bare",NA,NA,0,NA,NA,0.94,NA,NA,0,NA,NA,1377.51,NA,NA,1.45
