"pmax","ma","temp","pattern","lag"
157.895890410959,894.73698630137,0,"++",419.506849315069
105.26301369863,894.73698630137,0,"++",419.906849315068
52.6328767123288,894.73698630137,0,"++",415.120547945205
0,894.73698630137,0,"--",371.578082191781
1000,842.104109589041,0,"--",195.287671232877
947.367123287671,842.104109589041,0,"--",203.739726027397
894.73698630137,842.104109589041,0,"--",213.534246575342
842.104109589041,842.104109589041,0,"--",225.334246575342
789.47397260274,842.104109589041,0,"--",240.493150684931
736.841095890411,842.104109589041,0,"--",262.961643835616
684.21095890411,842.104109589041,0,"--",311.512328767123
631.578082191781,842.104109589041,0,"-+",344.849315068493
578.947945205479,842.104109589041,0,"-+",363.290410958904
526.315068493151,842.104109589041,0,"-+",375.668493150685
473.684931506849,842.104109589041,0,"-+",384.997260273973
421.052054794521,842.104109589041,0,"-+",392.613698630137
368.421917808219,842.104109589041,0,"-+",399.169863013699
315.78904109589,842.104109589041,0,"-+",404.958904109589
263.158904109589,842.104109589041,0,"-+",410.052054794521
210.52602739726,842.104109589041,0,"-+",414.315068493151
157.895890410959,842.104109589041,0,"++",417.33698630137
105.26301369863,842.104109589041,0,"++",418.191780821918
52.6328767123288,842.104109589041,0,"++",413.920547945205
0,842.104109589041,0,"--",371.575342465753
1000,789.47397260274,0,"--",188.309589041096
947.367123287671,789.47397260274,0,"--",196.378082191781
894.73698630137,789.47397260274,0,"--",205.641095890411
842.104109589041,789.47397260274,0,"--",216.624657534247
789.47397260274,789.47397260274,0,"--",230.345205479452
736.841095890411,789.47397260274,0,"--",249.339726027397
684.21095890411,789.47397260274,0,"--",286.158904109589
631.578082191781,789.47397260274,0,"--",332.690410958904
578.947945205479,789.47397260274,0,"-+",355.293150684932
526.315068493151,789.47397260274,0,"-+",369.572602739726
473.684931506849,789.47397260274,0,"-+",379.947945205479
421.052054794521,789.47397260274,0,"-+",388.224657534247
368.421917808219,789.47397260274,0,"-+",395.254794520548
315.78904109589,789.47397260274,0,"-+",401.430136986301
263.158904109589,789.47397260274,0,"-+",406.884931506849
210.52602739726,789.47397260274,0,"-+",411.517808219178
157.895890410959,789.47397260274,0,"++",414.950684931507
105.26301369863,789.47397260274,0,"++",416.293150684932
52.6328767123288,789.47397260274,0,"++",412.591780821918
0,789.47397260274,0,"--",371.578082191781
1000,736.841095890411,0,"--",181.191780821918
947.367123287671,736.841095890411,0,"--",188.901369863014
894.73698630137,736.841095890411,0,"--",197.671232876712
842.104109589041,736.841095890411,0,"--",207.93698630137
789.47397260274,736.841095890411,0,"--",220.471232876712
736.841095890411,736.841095890411,0,"--",237.01095890411
684.21095890411,736.841095890411,0,"--",263.375342465753
631.578082191781,736.841095890411,0,"--",316.723287671233
578.947945205479,736.841095890411,0,"--",345.695890410959
526.315068493151,736.841095890411,0,"-+",362.575342465753
473.684931506849,736.841095890411,0,"-+",374.293150684932
421.052054794521,736.841095890411,0,"-+",383.372602739726
368.421917808219,736.841095890411,0,"-+",390.947945205479
315.78904109589,736.841095890411,0,"-+",397.558904109589
263.158904109589,736.841095890411,0,"-+",403.405479452055
210.52602739726,736.841095890411,0,"-+",408.438356164384
157.895890410959,736.841095890411,0,"++",412.312328767123
105.26301369863,736.841095890411,0,"++",414.175342465753
52.6328767123288,736.841095890411,0,"++",411.098630136986
0,736.841095890411,0,"--",371.575342465753
1000,684.21095890411,0,"--",173.945205479452
947.367123287671,684.21095890411,0,"--",181.301369863014
894.73698630137,684.21095890411,0,"--",189.61095890411
842.104109589041,684.21095890411,0,"--",199.230136986301
789.47397260274,684.21095890411,0,"--",210.758904109589
736.841095890411,684.21095890411,0,"--",225.432876712329
684.21095890411,684.21095890411,0,"--",246.61095890411
631.578082191781,684.21095890411,0,"--",293.978082191781
578.947945205479,684.21095890411,0,"--",333.778082191781
526.315068493151,684.21095890411,0,"--",354.383561643836
473.684931506849,684.21095890411,0,"-+",367.868493150685
421.052054794521,684.21095890411,0,"-+",377.950684931507
368.421917808219,684.21095890411,0,"-+",386.180821917808
315.78904109589,684.21095890411,0,"-+",393.287671232877
263.158904109589,684.21095890411,0,"-+",399.567123287671
210.52602739726,684.21095890411,0,"-+",405.032876712329
157.895890410959,684.21095890411,0,"-+",409.378082191781
105.26301369863,684.21095890411,0,"++",411.8
52.6328767123288,684.21095890411,0,"++",409.419178082192
0,684.21095890411,0,"--",371.578082191781
1000,631.578082191781,0,"--",166.580821917808
947.367123287671,631.578082191781,0,"--",173.58904109589
894.73698630137,631.578082191781,0,"--",181.460273972603
842.104109589041,631.578082191781,0,"--",190.479452054795
789.47397260274,631.578082191781,0,"--",201.128767123288
736.841095890411,631.578082191781,0,"--",214.315068493151
684.21095890411,631.578082191781,0,"--",232.175342465753
631.578082191781,631.578082191781,0,"--",263.279452054795
578.947945205479,631.578082191781,0,"--",318.301369863014
526.315068493151,631.578082191781,0,"--",344.72602739726
473.684931506849,631.578082191781,0,"--",360.616438356164
421.052054794521,631.578082191781,0,"-+",371.901369863014
368.421917808219,631.578082191781,0,"-+",380.865753424658
315.78904109589,631.578082191781,0,"-+",388.542465753425
263.158904109589,631.578082191781,0,"-+",395.304109589041
210.52602739726,631.578082191781,0,"-+",401.241095890411
157.895890410959,631.578082191781,0,"-+",406.098630136986
105.26301369863,631.578082191781,0,"++",409.115068493151
52.6328767123288,631.578082191781,0,"++",407.501369863014
0,631.578082191781,0,"--",371.578082191781
1000,578.947945205479,0,"--",159.134246575342
947.367123287671,578.947945205479,0,"--",165.786301369863
894.73698630137,578.947945205479,0,"--",173.227397260274
842.104109589041,578.947945205479,0,"--",181.684931506849
789.47397260274,578.947945205479,0,"--",191.542465753425
736.841095890411,578.947945205479,0,"--",203.490410958904
684.21095890411,578.947945205479,0,"--",218.967123287671
631.578082191781,578.947945205479,0,"--",242.26301369863
578.947945205479,578.947945205479,0,"--",296.591780821918
526.315068493151,578.947945205479,0,"--",333.101369863014
473.684931506849,578.947945205479,0,"--",352.6
421.052054794521,578.947945205479,0,"-+",365.53698630137
368.421917808219,578.947945205479,0,"-+",375.32602739726
315.78904109589,578.947945205479,0,"-+",383.435616438356
263.158904109589,578.947945205479,0,"-+",390.567123287671
210.52602739726,578.947945205479,0,"-+",396.983561643836
157.895890410959,578.947945205479,0,"-+",402.397260273973
105.26301369863,578.947945205479,0,"++",406.06301369863
52.6328767123288,578.947945205479,0,"++",405.301369863014
0,578.947945205479,0,"--",371.575342465753
1000,526.315068493151,0,"--",151.660273972603
947.367123287671,526.315068493151,0,"--",157.950684931507
894.73698630137,526.315068493151,0,"--",164.950684931507
842.104109589041,526.315068493151,0,"--",172.860273972603
789.47397260274,526.315068493151,0,"--",181.991780821918
736.841095890411,526.315068493151,0,"--",192.868493150685
684.21095890411,526.315068493151,0,"--",206.506849315069
631.578082191781,526.315068493151,0,"--",225.441095890411
578.947945205479,526.315068493151,0,"--",261.978082191781
526.315068493151,526.315068493151,0,"--",317.945205479452
473.684931506849,526.315068493151,0,"--",343.21095890411
421.052054794521,526.315068493151,0,"--",358.597260273973
368.421917808219,526.315068493151,0,"-+",369.616438356164
315.78904109589,526.315068493151,0,"-+",378.394520547945
263.158904109589,526.315068493151,0,"-+",385.882191780822
210.52602739726,526.315068493151,0,"-+",392.479452054795
157.895890410959,526.315068493151,0,"-+",398.213698630137
105.26301369863,526.315068493151,0,"-+",402.561643835616
52.6328767123288,526.315068493151,0,"++",402.745205479452
0,526.315068493151,0,"--",371.575342465753
1000,473.684931506849,0,"--",144.284931506849
947.367123287671,473.684931506849,0,"--",150.180821917808
894.73698630137,473.684931506849,0,"--",156.734246575342
842.104109589041,473.684931506849,0,"--",164.101369863014
789.47397260274,473.684931506849,0,"--",172.53698630137
736.841095890411,473.684931506849,0,"--",182.454794520548
684.21095890411,473.684931506849,0,"--",194.597260273973
631.578082191781,473.684931506849,0,"--",210.591780821918
578.947945205479,473.684931506849,0,"--",235.638356164384
526.315068493151,473.684931506849,0,"--",296.002739726027
473.684931506849,473.684931506849,0,"--",331.47397260274
421.052054794521,473.684931506849,0,"--",350.6
368.421917808219,473.684931506849,0,"--",363.397260273973
315.78904109589,473.684931506849,0,"-+",373.153424657534
263.158904109589,473.684931506849,0,"-+",381.238356164384
210.52602739726,473.684931506849,0,"-+",388.227397260274
157.895890410959,473.684931506849,0,"-+",394.197260273973
105.26301369863,473.684931506849,0,"-+",398.715068493151
52.6328767123288,473.684931506849,0,"++",399.73698630137
0,473.684931506849,0,"--",371.575342465753
1000,421.052054794521,0,"--",137.128767123288
947.367123287671,421.052054794521,0,"--",142.605479452055
894.73698630137,421.052054794521,0,"--",148.679452054795
842.104109589041,421.052054794521,0,"--",155.490410958904
789.47397260274,421.052054794521,0,"--",163.243835616438
736.841095890411,421.052054794521,0,"--",172.265753424658
684.21095890411,421.052054794521,0,"--",183.115068493151
631.578082191781,421.052054794521,0,"--",196.893150684931
578.947945205479,421.052054794521,0,"--",216.430136986301
526.315068493151,421.052054794521,0,"--",258.019178082192
473.684931506849,421.052054794521,0,"--",315.602739726027
421.052054794521,421.052054794521,0,"--",340.871232876712
368.421917808219,421.052054794521,0,"--",356.301369863014
315.78904109589,421.052054794521,0,"--",367.435616438356
263.158904109589,421.052054794521,0,"-+",376.358904109589
210.52602739726,421.052054794521,0,"-+",383.939726027397
157.895890410959,421.052054794521,0,"-+",390.391780821918
105.26301369863,421.052054794521,0,"-+",395.301369863014
52.6328767123288,421.052054794521,0,"++",396.605479452055
0,421.052054794521,0,"--",371.575342465753
1000,368.421917808219,0,"--",130.397260273973
947.367123287671,368.421917808219,0,"--",135.41095890411
894.73698630137,368.421917808219,0,"--",140.967123287671
842.104109589041,368.421917808219,0,"--",147.18904109589
789.47397260274,368.421917808219,0,"--",154.241095890411
736.841095890411,368.421917808219,0,"--",162.38904109589
684.21095890411,368.421917808219,0,"--",172.060273972603
631.578082191781,368.421917808219,0,"--",184.027397260274
578.947945205479,368.421917808219,0,"--",200.008219178082
526.315068493151,368.421917808219,0,"--",225.698630136986
473.684931506849,368.421917808219,0,"--",291.498630136986
421.052054794521,368.421917808219,0,"--",328.260273972603
368.421917808219,368.421917808219,0,"--",347.827397260274
315.78904109589,368.421917808219,0,"--",360.93698630137
263.158904109589,368.421917808219,0,"-+",371
210.52602739726,368.421917808219,0,"-+",379.372602739726
157.895890410959,368.421917808219,0,"-+",386.495890410959
105.26301369863,368.421917808219,0,"-+",392.068493150685
52.6328767123288,368.421917808219,0,"++",394.104109589041
0,368.421917808219,0,"--",371.575342465753
1000,315.78904109589,0,"--",124.408219178082
947.367123287671,315.78904109589,0,"--",128.898630136986
894.73698630137,315.78904109589,0,"--",133.882191780822
842.104109589041,315.78904109589,0,"--",139.457534246575
789.47397260274,315.78904109589,0,"--",145.769863013699
736.841095890411,315.78904109589,0,"--",153.030136986301
684.21095890411,315.78904109589,0,"--",161.564383561644
631.578082191781,315.78904109589,0,"--",171.93698630137
578.947945205479,315.78904109589,0,"--",185.265753424658
526.315068493151,315.78904109589,0,"--",204.41095890411
473.684931506849,315.78904109589,0,"--",245.975342465753
421.052054794521,315.78904109589,0,"--",310.378082191781
368.421917808219,315.78904109589,0,"--",337.153424657534
315.78904109589,315.78904109589,0,"--",353.271232876712
263.158904109589,315.78904109589,0,"--",364.906849315068
210.52602739726,315.78904109589,0,"-+",374.301369863014
157.895890410959,315.78904109589,0,"-+",382.268493150685
105.26301369863,315.78904109589,0,"-+",388.717808219178
52.6328767123288,315.78904109589,0,"-+",391.857534246575
0,315.78904109589,0,"--",371.578082191781
1000,263.158904109589,0,"--",119.621917808219
947.367123287671,263.158904109589,0,"--",123.528767123288
894.73698630137,263.158904109589,0,"--",127.871232876712
842.104109589041,263.158904109589,0,"--",132.731506849315
789.47397260274,263.158904109589,0,"--",138.238356164384
736.841095890411,263.158904109589,0,"--",144.556164383562
684.21095890411,263.158904109589,0,"--",151.945205479452
631.578082191781,263.158904109589,0,"--",160.821917808219
578.947945205479,263.158904109589,0,"--",171.942465753425
526.315068493151,263.158904109589,0,"--",186.953424657534
473.684931506849,263.158904109589,0,"--",211.128767123288
421.052054794521,263.158904109589,0,"--",280.816438356164
368.421917808219,263.158904109589,0,"--",322.66301369863
315.78904109589,263.158904109589,0,"--",343.805479452055
263.158904109589,263.158904109589,0,"--",357.758904109589
210.52602739726,263.158904109589,0,"--",368.495890410959
157.895890410959,263.158904109589,0,"-+",377.495890410959
105.26301369863,263.158904109589,0,"-+",385.005479452055
52.6328767123288,263.158904109589,0,"-+",389.564383561644
0,263.158904109589,0,"--",371.578082191781
1000,210.52602739726,0,"--",116.21095890411
