"pmax","temp","ma","lag"
324485,81395,283970,110.120547945205
283970,81395,283970,113.684931506849
243455,81395,283970,118.734246575342
202940,81395,283970,126.578082191781
162425,81395,283970,141.213698630137
121910,81395,283970,208.758904109589
81395,81395,283970,240.597260273973
40880,81395,283970,263.435616438356
365,81395,283970,306.084931506849
365000,40880,283970,110.553424657534
324485,40880,283970,111.854794520548
283970,40880,283970,113.597260273973
243455,40880,283970,116.041095890411
202940,40880,283970,119.764383561644
162425,40880,283970,126.21095890411
121910,40880,283970,141.26301369863
81395,40880,283970,222.41095890411
40880,40880,283970,239.013698630137
365,40880,283970,263.460273972603
365000,365,283970,117.183561643836
324485,365,283970,117.649315068493
283970,365,283970,118.260273972603
243455,365,283970,119.106849315068
202940,365,283970,120.350684931507
162425,365,283970,122.375342465753
121910,365,283970,126.276712328767
81395,365,283970,137.635616438356
40880,365,283970,227.953424657534
365,365,283970,236.405479452055
365000,365000,243455,220.276712328767
324485,365000,243455,592.205479452055
283970,365000,243455,616.345205479452
243455,365000,243455,640.334246575342
202940,365000,243455,669.301369863014
162425,365000,243455,704.991780821918
121910,365000,243455,749.279452054795
81395,365000,243455,804.745205479452
40880,365000,243455,875.739726027397
365,365000,243455,965.608219178082
365000,324485,243455,191.756164383562
324485,324485,243455,228.556164383562
283970,324485,243455,514.564383561644
243455,324485,243455,540.660273972603
202940,324485,243455,568.312328767123
162425,324485,243455,602.534246575342
121910,324485,243455,645.613698630137
81395,324485,243455,700.276712328767
40880,324485,243455,770.906849315068
365,324485,243455,860.73698630137
365000,283970,243455,169.578082191781
324485,283970,243455,191.679452054795
283970,283970,243455,237.408219178082
243455,283970,243455,440.575342465753
202940,283970,243455,469.150684931507
162425,283970,243455,501.490410958904
121910,283970,243455,542.769863013699
81395,283970,243455,596.178082191781
40880,283970,243455,666.219178082192
365,283970,243455,755.964383561644
365000,243455,243455,150.668493150685
324485,243455,243455,165.772602739726
283970,243455,243455,189.416438356164
243455,243455,243455,245.635616438356
202940,243455,243455,372.690410958904
162425,243455,243455,404.457534246575
121910,243455,243455,442.882191780822
81395,243455,243455,494.005479452055
40880,243455,243455,562.854794520548
365,243455,243455,652.32602739726
365000,202940,243455,134.167123287671
324485,202940,243455,144.712328767123
283970,202940,243455,159.66301369863
243455,202940,243455,184.008219178082
202940,202940,243455,249.375342465753
162425,202940,243455,317.917808219178
121910,202940,243455,352.265753424658
81395,202940,243455,398.164383561644
40880,202940,243455,463.646575342466
365,202940,243455,551.876712328767
365000,162425,243455,120.041095890411
324485,162425,243455,127.104109589041
283970,162425,243455,136.67397260274
243455,162425,243455,150.654794520548
202940,162425,243455,174.323287671233
162425,162425,243455,245.416438356164
121910,162425,243455,282.621917808219
81395,162425,243455,317.684931506849
40880,162425,243455,372.786301369863
365,162425,243455,455.213698630137
365000,121910,243455,109.169863013699
324485,121910,243455,113.616438356164
283970,121910,243455,119.561643835616
243455,121910,243455,128.024657534247
202940,121910,243455,141.424657534247
162425,121910,243455,169.734246575342
121910,121910,243455,241.312328767123
81395,121910,243455,266.468493150685
40880,121910,243455,304.057534246575
365,121910,243455,369.002739726027
365000,81395,243455,106.082191780822
324485,81395,243455,108.728767123288
283970,81395,243455,112.260273972603
243455,81395,243455,117.257534246575
202940,81395,243455,124.980821917808
162425,81395,243455,139.224657534247
121910,81395,243455,203.432876712329
81395,81395,243455,238.764383561644
40880,81395,243455,262.175342465753
365,81395,243455,305.06301369863
365000,40880,243455,109.813698630137
324485,40880,243455,111.106849315068
283970,40880,243455,112.832876712329
243455,40880,243455,115.257534246575
202940,40880,243455,118.945205479452
162425,40880,243455,125.315068493151
121910,40880,243455,140.079452054795
81395,40880,243455,220.378082191781
40880,40880,243455,237.545205479452
365,40880,243455,262.561643835616
365000,365,243455,117.156164383562
324485,365,243455,117.619178082192
283970,365,243455,118.230136986301
243455,365,243455,119.076712328767
202940,365,243455,120.317808219178
162425,365,243455,122.339726027397
121910,365,243455,126.232876712329
81395,365,243455,137.569863013699
40880,365,243455,227.161643835616
365,365,243455,235.572602739726
365000,365000,202940,213.479452054795
324485,365000,202940,620.997260273973
283970,365000,202940,642.654794520548
243455,365000,202940,663.709589041096
202940,365000,202940,689.27397260274
162425,365000,202940,721.082191780822
121910,365000,202940,761.07397260274
81395,365000,202940,811.997260273973
40880,365000,202940,878.61095890411
365,365000,202940,965.813698630137
365000,324485,202940,188.542465753425
324485,324485,202940,221.865753424658
283970,324485,202940,539.358904109589
243455,324485,202940,562.953424657534
202940,324485,202940,587.575342465753
162425,324485,202940,618.227397260274
121910,324485,202940,657.227397260274
81395,324485,202940,707.471232876712
