"pmax","temp","ma","pattern","lag"
578.947945205479,368.421917808219,0,"++",173.66301369863
526.315068493151,368.421917808219,0,"++",191.621917808219
473.684931506849,368.421917808219,0,"++",230.298630136986
421.052054794521,368.421917808219,0,"++",243.178082191781
368.421917808219,368.421917808219,0,"++",249.506849315069
315.78904109589,368.421917808219,0,"++",255.249315068493
263.158904109589,368.421917808219,0,"++",262.515068493151
210.52602739726,368.421917808219,0,"++",273.07397260274
157.895890410959,368.421917808219,0,"++",288.906849315068
105.26301369863,368.421917808219,0,"++",311.739726027397
52.6328767123288,368.421917808219,0,"++",344.545205479452
0,368.421917808219,0,"+-",302.495890410959
1000,315.78904109589,0,"++",129.904109589041
947.367123287671,315.78904109589,0,"++",131.747945205479
894.73698630137,315.78904109589,0,"++",133.857534246575
842.104109589041,315.78904109589,0,"++",136.301369863014
789.47397260274,315.78904109589,0,"++",139.172602739726
736.841095890411,315.78904109589,0,"++",142.619178082192
684.21095890411,315.78904109589,0,"++",146.854794520548
631.578082191781,315.78904109589,0,"++",152.249315068493
578.947945205479,315.78904109589,0,"++",159.512328767123
526.315068493151,315.78904109589,0,"++",170.339726027397
473.684931506849,315.78904109589,0,"++",191.775342465753
421.052054794521,315.78904109589,0,"++",230.33698630137
368.421917808219,315.78904109589,0,"++",240.986301369863
315.78904109589,315.78904109589,0,"++",246.731506849315
263.158904109589,315.78904109589,0,"++",252.380821917808
210.52602739726,315.78904109589,0,"++",260.013698630137
157.895890410959,315.78904109589,0,"++",271.6
105.26301369863,315.78904109589,0,"++",288.397260273973
52.6328767123288,315.78904109589,0,"++",313.443835616438
0,315.78904109589,0,"+-",303.380821917808
1000,263.158904109589,0,"+=",125.076712328767
947.367123287671,263.158904109589,0,"+=",126.553424657534
894.73698630137,263.158904109589,0,"+=",128.235616438356
842.104109589041,263.158904109589,0,"++",130.175342465753
789.47397260274,263.158904109589,0,"++",132.443835616438
736.841095890411,263.158904109589,0,"++",135.139726027397
684.21095890411,263.158904109589,0,"++",138.41095890411
631.578082191781,263.158904109589,0,"++",142.493150684931
578.947945205479,263.158904109589,0,"++",147.78904109589
526.315068493151,263.158904109589,0,"++",155.117808219178
473.684931506849,263.158904109589,0,"++",166.556164383562
421.052054794521,263.158904109589,0,"++",193.468493150685
368.421917808219,263.158904109589,0,"++",229.317808219178
315.78904109589,263.158904109589,0,"++",238.452054794521
263.158904109589,263.158904109589,0,"++",243.780821917808
210.52602739726,263.158904109589,0,"++",249.454794520548
157.895890410959,263.158904109589,0,"++",257.767123287671
105.26301369863,263.158904109589,0,"++",270.27397260274
52.6328767123288,263.158904109589,0,"++",288.720547945205
0,263.158904109589,0,"+-",304.446575342466
1000,210.52602739726,0,"+=",120.884931506849
947.367123287671,210.52602739726,0,"+=",122.024657534247
894.73698630137,210.52602739726,0,"+=",123.315068493151
842.104109589041,210.52602739726,0,"+=",124.8
789.47397260274,210.52602739726,0,"+=",126.531506849315
736.841095890411,210.52602739726,0,"+=",128.572602739726
684.21095890411,210.52602739726,0,"+=",131.030136986301
